customer_id,product_id,review_text
1,1,This product is great! I love it.
2,2,The quality of this product is terrible.
3,1,I'm very satisfied with this product.
4,3,This product exceeded my expectations.
5,2,Do not buy this product. It's a waste of money.
6,1,"The product arrived damaged, but the seller quickly sent a replacement."
7,3,I would definitely recommend this product to others.
8,2,I'm disappointed with the performance of this product.
9,1,This product is perfect for my needs.
10,3,"The price of this product is a bit high, but it's worth it."
11,2,This product is amazing! I can't believe how well it works.
12,1,The instructions for this product were confusing.
13,3,This product did not live up to my expectations.
14,1,"I had some issues with this product, but customer service was helpful in resolving them."
15,2,I would not recommend this product to anyone.
16,3,I'm very happy with my purchase of this product.
17,1,This is the best product I have ever bought!
18,2,The price of this product is too high for the quality.
19,3,This product is a great value for the price.
20,1,This product is exactly what I was looking for.
21,2,The packaging for this product was damaged in transit.
22,3,This product is not as good as I expected it to be.
23,1,"I had some difficulty setting up this product, but once I got it working, it was great."
24,2,The customer service for this product was terrible.
25,3,I'm impressed with the quality of this product.
26,1,I would definitely buy this product again.
27,2,"This product is just okay. It works, but it's not great."
28,3,This product is a lifesaver! It saved me so much time and effort.
29,1,I wish this product came in more colors.
30,2,I regret buying this product. It's a waste of money.
31,3,This product is very easy to use and has a lot of features.
32,1,The size of this product is perfect for my needs.
33,2,"I'm satisfied with this product, but I wish it was cheaper."
34,3,This product is not worth the price. There are better options available.
35,1,This product is a must-have for anyone in this industry.
36,2,This product is poorly designed and does not work well.
37,3,I'm very happy with my purchase of this product.
38,1,"I had some issues with this product, but customer service was able to help me resolve them."
39,2,This product is a great value for the price.
40,4,I'm impressed with the quality of this product.
40,4,I regret buying this product. It's a waste of money.
40,4,I'm very happy with my purchase of this product.
40,4,This product is a great value for the price.
